ID,Nom,Score
0,Elyo,1964653866
14,Mizer 0,3955
15,UWU BAKA,3753
13,Mizer 0,3711
2,Ilian,3621
13,Mizer,3607
2,Ilian,3175
16,MISPHERE,3136
15,MOHAMED LAIDOUNI MOH,3115
1,Ayman,3085
15,,2681
15,123456789 MOHAMED,2666
13,Mizer 0,2649
13,Mizer 0,2611
2,Ilian,2480
15,123456789 MOHAMED,2467
16,MISPHERE,2424
3,Victor,2394
19,MIZER,2394
15,FD DLM MOHAEEA,2358
15,MOHAMED,2282
13,Mizer 0,1904
16,MOHAMED,1853
19,MIZER,1835
15,MOHAMED,1746
15,MIZER,1675
14,Mizer 0,1630
13,Mizer,1588
16,MISPHERE,1551
14,Mizer 0,1504
14,Mizer 0,1467
15,MOHAMED LAIDOUNI MOH,1346
15,AANDNJFDFDFDFDFD,1321
15,123456789 MOHAMED,1299
19,MIZER,1192
13,Villomega EST BO,1174
13,Mizer 0,1158
15,MOHAMED,1022
14,Mizer 0,959
18,MOHAMED RANK 1,892
13,Mizer,858
13,Mizer 0,802
15,Mizer 0,771
16,AYMAN ,718
16,AYMAN ET V,715
15,ILIAN CXMO,692
14,Mizer 0,647
15,MOHAMED LA,624
13,Mizer 0,555
15,Mizer 0,499
15,,482
13,Mizer 0,481
16,AAA,477
13,Mizer 0,436
14,Mizer 0,367
15,ILIAN CXMO,352
13,Mizer 0,345
16,MISPHERE,336
16,AYMANOU,326
17,MIZER,310
15,,306
14,Mizer 0,304
13,Mizer 0,276
19,MIZER,276
15,MIZER,222
13,Mizer,216
15,MOH MOHAMEDKFDKD,214
19,MIZER,199
13,Mizer 0,181
15,MOHAMED,180
13,Mizer 0,174
16,MOHA,171
13,Mizer,169
16,MIZER,146
13,Mizer 0,143
13,Mizer,130
13,Mizer,127
13,Mizer 0,127
13,Mizer 0,121
13,Mizer,120
15,AYMAN,110
17,MOHA,104
13,Mizer 0,103
13,Mizer0,100
16,AYMAN ,80
13,Mizer 0,69
13,Mizer0,59
13,Mizer,58
13,Mizer,54
13,Mizer0,54
15,123456789 MOHAMED,42
13,Mizer,41
13,Mizer,41
13,Mizer,30
13,Mizer 0,27
13,Mizer,24
13,Mizer 0,24
13,Mizer,22
13,Mizer0,13
13,Mizer 0,13
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer,0
13,Mizer0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
13,Mizer 0,0
15,MOHAMED,0
15,AYMAN,0
15,,0
19,MIZER,0
